node_id	node_length	node_label	node_p_virus	node_p_plasmid	node_p_bacteria	node_p_eukaryota	node_prior_weight
3	338	Unknown	0.4000000000000001	0.20000000000000004	0.20000000000000004	0.20000000000000004	338.0
7	151	Unknown	0.40000000039867545	0.19999999993781187	0.19999999983336206	0.19999999983015065	151.0
13	1314	Virus	1.0	0.0	0.0	0.0	5543.0
19	56	Unknown	0.4000000030418376	0.19999999903204144	0.1999999989762823	0.19999999894983866	56.0
21	148	Unknown	0.40000002511356625	0.19999999201036867	0.1999999915423297	0.19999999133373536	148.0
25	432	Unknown	0.4477747955706093	0.179681838289732	0.1802173205924934	0.19232604554716534	547.0
31	85	Eukaryota	0.0	0.0	0.0	1.0	85.0
33	60	Eukaryota	0.0	0.0	0.0	1.0	60.0
35	59	Eukaryota	0.0	0.0	0.0	1.0	59.0
37	89	Eukaryota	0.0	0.0	0.0	1.0	89.0
47	374	Eukaryota	0.0	0.0	0.0	1.0	389.0
55	57	Eukaryota	0.0	0.0	0.0	1.0	57.0
63	2036	Eukaryota	0.0	0.0	0.0	1.0	2036.0
69	56	Eukaryota	0.0	0.0	0.0	1.0	56.0
75	57	Unknown	0.3999998957863324	0.20000020343819191	0.19999995273080134	0.19999994804467436	57.0
79	59	Eukaryota	0.0	0.0	0.0	1.0	59.0
81	83	Eukaryota	0.0	0.0	0.0	1.0	83.0
85	1336	Eukaryota	0.0	0.0	0.0	1.0	27067.0
93	57	Unknown	0.3999999998755923	0.20000000001686946	0.20000000020096195	0.19999999990657624	57.0
101	566	Unknown	0.3693176252733197	0.16726066882409293	0.32151877098028997	0.14190293492229739	1880.0
103	240	Unknown	0.3981397493037614	0.19853430810380202	0.19886778313161274	0.20445815946082396	783.0
105	57	Unknown	0.4000000149731231	0.20000001234466017	0.199999992037807	0.19999998064440977	57.0
113	136	Unknown	0.4000000018611433	0.2000000038122794	0.19999999819301792	0.1999999961335594	136.0
121	2159	Eukaryota	0.0	0.0	0.0	1.0	12191.0
135	488	Bacteria	0.0	0.0	1.0	0.0	20589.0
139	64	Eukaryota	0.0	0.0	0.0	1.0	64.0
147	359	Virus	1.0	0.0	0.0	0.0	19339.0
157	1146	Eukaryota	0.0	0.0	0.0	1.0	1146.0
165	1297	Unknown	0.5534568198059032	0.1488476454058075	0.148847645395511	0.14884788939277824	1297.0
169	56	Eukaryota	0.0	0.0	0.0	1.0	56.0
171	996	Unknown	0.37408213876244095	0.18412767284201187	0.26243668317889685	0.17935350521665036	996.0
173	831	Virus	1.0	0.0	0.0	0.0	5197.0
175	63	Eukaryota	0.0	0.0	0.0	1.0	63.0
179	550	Unknown	0.3664962848822948	0.1830352241217072	0.1830347542664129	0.26743373672958504	550.0
181	2131	Unknown	0.22923245314389248	0.18319998130345055	0.4750942953099014	0.11247327024275552	2131.0
183	832	Unknown	0.6445776144711155	0.11846975101868693	0.1184829783491932	0.11846965616100442	2182.0
185	5849	Eukaryota	0.0	0.0	0.0	1.0	31710.0
187	834	Unknown	0.5519779857021664	0.14906058661265628	0.14906058534430852	0.14990084234086892	1424.0
189	964	Unknown	0.36422020499077634	0.1975906771522361	0.25895424276636003	0.17923487509062758	964.0
191	1337	Unknown	0.2502699174052458	0.13989400955579656	0.48066429063674065	0.12917178240221708	1564.0
193	943	Unknown	0.3094609923661621	0.35673343664524254	0.17928319673992724	0.1545223742486682	1177.0
195	293	Virus	1.0	0.0	0.0	0.0	4020.0
197	2819	Eukaryota	0.0	0.0	0.0	1.0	17490.0
199	209	Unknown	0.2985281811912439	0.24339399939239015	0.28972356706903357	0.16835425234733237	1782.0
201	332	Unknown	0.4	0.2	0.2	0.2	914.0
203	2639	Eukaryota	0.0	0.0	0.0	1.0	12191.0
207	884	Virus	1.0	0.0	0.0	0.0	3701.0
209	1305	Virus	1.0	0.0	0.0	0.0	2639.0
211	1766	Unknown	0.11023527476766146	0.3385661779874629	0.4977700979830931	0.053428449261782675	4678.0
213	2644	Eukaryota	0.0	0.0	0.0	1.0	12361.0
215	849	Eukaryota	0.0	0.0	0.0	1.0	1368.0
