dataset	sample	model	n_eval	precision_macro	recall_macro	f1_macro	precision_bacteria	recall_bacteria	f1_bacteria	support_bacteria	precision_eukaryota	recall_eukaryota	f1_eukaryota	support_eukaryota	precision_plasmid	recall_plasmid	f1_plasmid	support_plasmid	precision_virus	recall_virus	f1_virus	support_virus
cami_i_high	CAMI_I_high_S001_short	dmc	189590	0.25	0.10753072419431405	0.15037969734857287	1.0	0.4301228967772562	0.6015187893942915	189590	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0
cami_i_high	CAMI_I_high_S001_short	4cac	189590	0.25	0.2376391159871301	0.24366289351714143	1.0	0.9505564639485204	0.9746515740685657	189590	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0
cami_i_high	CAMI_I_high_S001_short	hybrid_no_rescue	189590	0.25	0.24973363574028165	0.2498667468824048	1.0	0.9989345429611266	0.9994669875296192	189590	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0
cami_i_high	CAMI_I_high_S001_short	hybrid_rescue	189590	0.25	0.22851943667914976	0.23877759100553886	1.0	0.914077746716599	0.9551103640221554	189590	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0
cami_i_high	CAMI_I_high_S002_short	dmc	212100	0.25	0.10681400282885431	0.14967742574846146	1.0	0.42725601131541724	0.5987097029938458	212100	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0
cami_i_high	CAMI_I_high_S002_short	4cac	212100	0.25	0.23797972654408298	0.24384181718928893	1.0	0.9519189061763319	0.9753672687571557	212100	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0
cami_i_high	CAMI_I_high_S002_short	hybrid_no_rescue	212100	0.25	0.2487847713342763	0.24939090528843086	1.0	0.9951390853371052	0.9975636211537234	212100	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0
cami_i_high	CAMI_I_high_S002_short	hybrid_rescue	212100	0.25	0.22903465346534654	0.23905854389500336	1.0	0.9161386138613862	0.9562341755800134	212100	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0
cami_i_high	CAMI_I_high_S003_short	dmc	240281	0.25	0.10856039387217466	0.15138369397105805	1.0	0.43424157548869863	0.6055347758842322	240281	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0
cami_i_high	CAMI_I_high_S003_short	4cac	240281	0.25	0.2376217844939883	0.24365378255256953	1.0	0.9504871379759532	0.9746151302102781	240281	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0
